feature_id,feature_name,company,launch_date,feature_type,announcement_source,google_trends_keyword,expected_stickiness,notes
34,Multiview,YouTube TV,2023-10-01,User Experience,Press release,YouTube TV multiview,sticky,Watch 4 streams simultaneously
35,Price Increase,YouTube TV,2023-03-16,Pricing,Announcement,YouTube TV price,novelty,Negative feature launch
36,Unlimited DVR,YouTube TV,2019-06-01,Core Feature,Announcement,YouTube TV DVR,sticky,Cloud DVR with no limits
37,Download to Watch Offline,Paramount+,2023-06-20,Core Feature,Press release,Paramount Plus downloads,sticky,Offline viewing
38,Showtime Integration,Paramount+,2023-06-27,Content Integration,Press release,Paramount Showtime,sticky,Merged services
39,Live Sports,Paramount+,2022-03-01,Content Expansion,Press release,Paramount Plus sports,sticky,CBS Sports included
40,Essential Plan,Paramount+,2021-06-07,Pricing,Launch,Paramount Plus essential,sticky,$4.99 ad-supported tier
41,Family Plan,Apple Music,2023-10-15,Pricing,Announcement,Apple Music family,sticky,Up to 6 people $16.99/month
42,Dolby Atmos,Apple Music,2021-06-07,Technical Feature,Press release,Apple Music Atmos,novelty,Spatial audio
43,Lossless Audio,Apple Music,2021-06-07,Technical Feature,Press release,Apple Music lossless,novelty,Hi-fi streaming
44,Sing Feature,Apple Music,2022-12-13,User Experience,Press release,Apple Music Sing,novelty,Karaoke-style lyrics
45,Classical App,Apple Music,2023-03-28,Product Launch,Press release,Apple Music Classical,unknown,Dedicated classical music app
46,X Premium Blue,Twitter/X,2023-01-21,Monetization,Announcement,Twitter Blue premium,unknown,Rebranded verification
47,Grok AI,X Premium,2023-12-07,AI Feature,Announcement,X Grok AI,unknown,AI chatbot for Premium users
48,Longer Videos,X Premium,2023-08-11,Content Feature,Announcement,X Premium videos,unknown,Extended video uploads
49,Premium Price Increase,Spotify,2023-07-24,Pricing,Announcement,Spotify price increase,novelty,Negative feature launch
50,AI Voice Translation,Spotify,2023-09-25,AI/Content,Press release,Spotify voice translation,novelty,Podcast translation feature
